Function,f_bias,Dimension,Algorithm,Best,Worst,Mean,Median,Std,Avg_Time(s)
F12,2700.0,10,PSO,2.869875393104501e+03,2.903994372963806e+03,2.888346108769572e+03,2.891168560240407e+03,1.407126790991346e+01,0.9012
F12,2700.0,10,DE,2.857135405603567e+03,2.860969335900860e+03,2.858893620339699e+03,2.858576119514672e+03,1.581214820224151e+00,1.1737
F12,2700.0,10,GA,2.749521256351505e+03,2.882991489282481e+03,2.837790883037174e+03,2.880859903477538e+03,6.242211766637204e+01,1.0521
F12,2700.0,10,ABC,2.354933955657538e+03,2.872722231418079e+03,2.625189418273113e+03,2.647912067743723e+03,2.119959334955771e+02,1.1435
F12,2700.0,10,GWO,2.851171639459344e+03,2.859886953516641e+03,2.854347238466978e+03,2.851983122424949e+03,3.931154052308103e+00,1.1026
F12,2700.0,10,WOA,2.854917195308892e+03,2.863160304387825e+03,2.859557504657876e+03,2.860595014276909e+03,3.444273651438372e+00,1.0636
F12,2700.0,10,SCA,2.859630551229722e+03,2.890197445862903e+03,2.879827844301230e+03,2.889655535811065e+03,1.428335633265441e+01,1.0303
F12,2700.0,10,HHO,2.878364770230225e+03,2.997974079338358e+03,2.924397516116249e+03,2.896853698780165e+03,5.257117785386433e+01,1.8441
F12,2700.0,10,MPA,2.831362078945184e+03,2.862492911212960e+03,2.848047722287932e+03,2.850288176705652e+03,1.280746934200275e+01,1.0403
F12,2700.0,10,AO,2.885323548338414e+03,2.962573284678973e+03,2.919123468680798e+03,2.909473573025008e+03,3.226681273173426e+01,1.0126
F12,2700.0,10,DBO,2.847779680987418e+03,2.873034023205747e+03,2.862478807166633e+03,2.866622717306735e+03,1.071834700119528e+01,0.9878
